run_id,T1,d1,th1,br1,d2,th2,br2
356,0.5,-45.0,0.0,0.0,0.0,1.0,6.0
357,0.5,0.0,0.5,0.5,22.5,1.0,6.0
358,0.5,-22.5,1.0,3.0,22.5,1.0,10.0
359,0.5,45.0,0.0,6.0,45.0,0.0,10.0
360,0.5,-22.5,0.5,10.0,-45.0,0.0,0.0
361,0.5,22.5,1.0,0.0,-22.5,0.0,0.0
362,0.5,0.0,0.0,1.0,-22.5,0.0,0.0
363,0.5,45.0,0.5,3.0,0.0,0.5,0.5
364,0.5,-45.0,1.0,6.0,22.5,0.5,0.5
365,0.5,0.0,0.0,10.0,22.5,0.5,1.0
366,0.5,-22.5,0.5,0.5,45.0,0.5,1.0
367,0.5,45.0,1.0,1.0,-45.0,1.0,3.0
368,0.5,-45.0,0.0,3.0,-22.5,1.0,3.0
369,0.5,22.5,0.5,6.0,-22.5,1.0,6.0
370,0.5,0.0,1.0,10.0,0.0,0.0,6.0
371,0.5,45.0,0.0,0.0,22.5,0.0,10.0
372,0.5,-45.0,0.5,0.5,22.5,0.0,10.0
373,0.5,22.5,1.0,1.0,45.0,0.0,0.0
374,0.5,-22.5,0.0,3.0,-45.0,0.5,0.0
375,0.5,45.0,0.5,6.0,-22.5,0.5,0.5
376,0.5,-22.5,1.0,0.0,-22.5,0.5,0.5
377,0.5,22.5,0.0,0.5,0.0,0.5,0.5
378,0.5,0.0,0.5,1.0,22.5,1.0,1.0
379,0.5,45.0,1.0,3.0,45.0,1.0,1.0
380,0.5,-45.0,0.0,10.0,45.0,1.0,3.0
381,0.5,0.0,0.5,0.0,-45.0,0.0,3.0
382,0.5,-22.5,1.0,0.5,-22.5,0.0,6.0
383,0.5,22.5,0.0,1.0,0.0,0.0,6.0
384,0.5,-45.0,0.5,6.0,0.0,0.0,10.0
385,0.5,22.5,1.0,10.0,22.5,0.5,10.0
386,0.5,-22.5,0.0,0.0,45.0,0.5,0.0
387,0.5,45.0,0.5,0.5,45.0,0.5,0.0
388,0.5,-45.0,1.0,3.0,-45.0,0.5,0.5
389,0.5,0.0,0.0,6.0,-45.0,1.0,0.5
390,0.5,-22.5,0.5,10.0,-22.5,1.0,0.5
391,0.5,45.0,1.0,0.0,0.0,1.0,1.0
392,0.5,-45.0,0.0,1.0,0.0,0.0,1.0
393,0.5,22.5,0.5,3.0,22.5,0.0,3.0
394,0.5,0.0,1.0,6.0,45.0,0.0,3.0
395,0.5,45.0,0.0,10.0,-45.0,0.0,6.0
396,0.5,-45.0,0.5,0.0,-45.0,0.5,6.0
397,0.5,0.0,1.0,0.5,-22.5,0.5,10.0
398,0.5,22.5,0.5,3.0,0.0,0.5,0.0
399,0.5,-45.0,1.0,6.0,22.5,1.0,0.0
400,0.5,22.5,0.0,0.0,45.0,1.0,0.5
